,team,year,win,loss,off_yards_play,points_per_game,yards_play_allowed,avg_points_per_game_allowed,x3rd_percent,opponent_3rd_percent,x4th_percent,opponent_4th_percent,avg_turnover_margin_per_game,avg_yard_per_kickoff_return,avg_yards_per_punt_return,avg_yards_allowed_per_punt_return
27,Georgia St.,2014,1,11,5.39,22.7,6.57,43.3,0.465,0.519,0.563,0.611,-1.83,20.21,13.5,13.5
28,Georgia Tech,2014,11,3,6.72,37.9,6.32,25.7,0.579,0.461,0.706,0.545,0.79,22.64,6.56,6.56
29,Houston,2014,8,5,5.7,29.8,4.88,20.6,0.409,0.387,0.522,0.368,0.62,21.48,4.5,4.5
30,Idaho,2014,1,10,5.21,25.0,6.93,37.3,0.417,0.459,0.571,0.5,-1.0,21.39,8.6,8.6
31,Illinois,2014,6,7,5.41,25.9,6.01,34.0,0.36,0.423,0.385,0.538,-0.23,23.3,7.91,7.91
32,Indiana,2014,4,8,5.7,25.1,5.85,32.8,0.304,0.361,0.35,0.75,-0.17,22.92,10.83,10.83
33,Iowa,2014,7,6,5.47,28.2,5.28,25.6,0.448,0.368,0.609,0.667,-0.46,16.09,15.13,15.13
34,Iowa St.,2014,2,10,4.9,23.2,6.53,38.8,0.423,0.462,0.316,0.591,0.0,17.95,3.72,3.72
35,Kansas,2014,3,9,4.62,17.8,6.29,33.3,0.343,0.415,0.2,0.65,0.25,26.9,8.16,8.16
36,Kansas St.,2014,9,4,6.15,35.8,5.46,23.2,0.459,0.429,0.688,0.429,0.62,17.97,11.09,11.09
37,Kent St.,2014,2,9,4.83,16.4,5.75,29.0,0.303,0.456,0.643,0.385,-0.36,22.0,9.25,9.25
38,Kentucky,2014,5,7,5.43,29.2,5.5,31.3,0.339,0.439,0.435,0.643,0.67,22.51,12.65,12.65
39,La.-Monroe,2014,4,8,4.7,20.1,5.31,26.3,0.345,0.326,0.5,0.542,-0.08,21.64,8.87,8.87
40,Louisiana,2014,9,4,5.91,29.5,5.88,26.0,0.422,0.39,0.5,0.516,0.23,17.24,9.53,9.53
41,Louisiana Tech,2014,9,5,5.86,37.4,4.94,24.7,0.401,0.347,0.667,0.68,1.14,21.87,10.4,10.4
42,Louisville,2014,9,4,5.46,31.2,4.75,21.8,0.394,0.318,0.524,0.25,0.31,22.6,9.71,9.71
43,LSU,2014,8,5,5.62,27.6,4.87,17.5,0.399,0.36,0.563,0.467,0.23,19.62,9.14,9.14
44,Marshall,2014,13,1,7.59,45.6,4.73,21.0,0.514,0.311,0.5,0.24,-0.14,21.11,10.75,10.75
45,Maryland,2014,7,6,5.26,28.5,5.45,30.2,0.326,0.402,0.538,0.481,0.0,22.87,10.48,10.48
46,Massachusetts,2014,3,9,5.75,27.3,5.75,33.0,0.36,0.416,0.528,0.542,-0.5,19.65,6.19,6.19
47,Memphis,2014,10,3,5.49,36.2,4.74,19.5,0.367,0.353,0.714,0.643,0.85,18.12,2.77,2.77
48,Miami,2014,6,7,6.68,29.2,4.79,24.3,0.368,0.398,0.609,0.5,-0.08,24.57,6.31,6.31
49,Miami,2014,2,10,5.45,22.3,6.03,31.8,0.344,0.427,0.348,0.533,0.17,19.82,4.87,4.87
50,Michigan,2014,5,7,5.32,20.9,4.77,22.4,0.394,0.382,0.385,0.313,-1.33,21.38,13.3,13.3
51,Michigan St.,2014,11,2,6.55,43.0,5.09,21.5,0.5,0.313,0.529,0.476,1.46,22.43,10.78,10.78
52,Middle Tenn.,2014,6,6,5.93,31.6,5.85,31.5,0.444,0.441,0.563,0.444,-0.33,20.98,6.42,6.42
53,Minnesota,2014,8,5,5.45,28.4,5.43,24.2,0.403,0.404,0.7,0.647,0.77,18.87,5.41,5.41
54,Mississippi St.,2014,10,3,6.67,36.9,5.65,21.7,0.464,0.351,0.429,0.409,0.0,17.9,7.21,7.21
55,Missouri,2014,11,3,5.39,27.8,4.83,21.1,0.429,0.37,0.813,0.522,0.64,24.85,7.95,7.95
56,Navy,2014,8,5,6.36,31.8,5.83,27.3,0.481,0.429,0.583,0.545,-0.31,22.29,6.06,6.06
57,NC State,2014,8,5,5.97,30.2,5.24,27.0,0.458,0.485,0.5,0.6,0.38,18.81,7.75,7.75
58,Nebraska,2014,9,4,6.22,37.8,5.37,26.4,0.413,0.301,0.462,0.5,-0.15,21.15,8.94,8.94
59,New Mexico St.,2014,2,10,5.48,24.5,6.51,39.1,0.414,0.446,0.577,0.833,-1.08,22.64,12.3,12.3
60,North Carolina,2014,6,7,5.56,33.2,6.53,39.0,0.424,0.49,0.478,0.833,0.0,17.41,4.14,4.14
61,North Texas,2014,4,8,4.87,27.2,5.48,29.8,0.387,0.384,0.462,0.611,0.0,16.37,10.7,10.7
62,Northern Ill.,2014,11,3,5.76,31.5,5.5,25.6,0.478,0.437,0.571,0.412,0.86,19.38,3.83,3.83
63,Northwestern,2014,5,7,4.5,23.0,5.25,25.2,0.4,0.387,0.483,0.476,0.33,19.49,7.48,7.48
64,Notre Dame,2014,8,5,6.11,32.8,5.6,29.2,0.474,0.411,0.5,0.458,-0.23,23.42,5.33,5.33
65,Ohio,2014,6,6,5.26,20.5,5.58,24.8,0.397,0.427,0.462,0.5,-0.33,19.73,5.86,5.86
66,Ohio St.,2014,14,1,6.98,44.8,4.98,22.0,0.52,0.344,0.591,0.526,0.47,17.24,5.8,5.8
67,Oklahoma,2014,8,5,6.41,36.4,5.14,25.9,0.404,0.383,0.6,0.529,-0.38,21.31,10.65,10.65
68,Oklahoma St.,2014,7,6,5.43,27.6,5.79,31.2,0.33,0.408,0.5,0.313,-0.62,21.04,3.16,3.16
69,Ole Miss,2014,9,4,6.03,28.3,4.67,16.0,0.393,0.33,0.45,0.533,0.54,21.26,3.47,3.47
70,Oregon,2014,13,2,7.34,45.4,5.52,23.6,0.495,0.423,0.607,0.487,1.53,21.39,5.75,5.75
71,Oregon St.,2014,5,7,5.57,25.7,5.76,31.6,0.319,0.398,0.421,0.625,0.33,20.56,6.29,6.29
72,Penn St.,2014,7,6,4.6,20.6,4.27,18.6,0.395,0.302,0.368,0.263,-0.38,26.11,4.48,4.48
73,Pittsburgh,2014,6,7,6.17,31.8,5.59,26.3,0.465,0.376,0.667,0.611,-0.38,19.89,4.71,4.71
74,Purdue,2014,3,9,4.95,23.8,5.58,31.7,0.362,0.467,0.387,0.222,-0.42,19.76,11.38,11.38
75,Rice,2014,8,5,5.62,28.8,5.74,28.5,0.448,0.414,0.333,0.25,0.62,27.44,8.17,8.17
76,Rutgers,2014,8,5,5.99,26.7,6.39,30.2,0.359,0.425,0.471,0.429,-0.15,22.41,7.07,7.07
77,SMU,2014,1,11,4.08,11.1,6.62,41.3,0.326,0.438,0.5,0.55,-1.17,21.7,9.0,9.0
78,South Alabama,2014,6,7,5.15,22.5,5.59,26.4,0.365,0.41,0.25,0.529,-0.54,16.39,5.33,5.33
79,South Carolina,2014,7,6,6.09,32.6,6.22,30.4,0.434,0.42,0.545,0.833,-0.15,22.5,6.85,6.85
80,South Fla.,2014,4,8,4.94,17.2,5.69,27.0,0.376,0.453,0.474,0.833,0.0,21.75,8.79,8.79
81,Southern California,2014,9,4,6.04,35.8,5.3,25.2,0.466,0.35,0.625,0.577,0.85,22.47,16.25,16.25
82,Southern Miss.,2014,3,9,5.1,19.0,6.41,35.4,0.346,0.444,0.231,0.6,-0.83,29.74,6.72,6.72
83,Stanford,2014,8,5,5.89,27.2,4.21,16.4,0.424,0.358,0.3,0.444,-0.38,21.16,6.91,6.91
84,Syracuse,2014,3,9,4.91,17.1,5.0,24.3,0.341,0.393,0.5,0.7,-0.08,19.91,14.3,14.3
85,TCU,2014,12,1,6.68,46.5,4.66,19.0,0.431,0.279,0.5,0.545,1.38,20.19,-1.0,-1.0
86,Temple,2014,6,6,4.79,23.1,4.75,17.5,0.235,0.35,0.5,0.333,0.25,19.02,2.95,2.95
87,Tennessee,2014,7,6,4.93,28.9,5.31,24.2,0.389,0.344,0.583,0.4,0.15,18.81,3.23,3.23
88,Texas,2014,6,7,4.92,21.4,4.68,23.8,0.343,0.353,0.5,0.542,-0.23,30.07,10.18,10.18
89,Texas A&M,2014,8,5,6.33,35.2,5.91,28.1,0.408,0.402,0.579,0.6,-0.54,19.69,7.46,7.46
90,Texas St.,2014,7,5,6.06,33.8,5.71,27.7,0.39,0.4,0.6,0.615,0.58,21.17,4.56,4.56
91,Texas Tech,2014,4,8,6.62,30.5,6.24,41.3,0.437,0.469,0.435,0.619,-1.08,20.97,3.57,3.57
92,Toledo,2014,9,4,6.55,36.6,5.81,30.5,0.46,0.432,0.643,0.625,-0.23,18.89,7.38,7.38
93,Troy,2014,3,9,5.34,21.8,6.38,36.2,0.389,0.509,0.48,0.588,0.33,25.03,8.6,8.6
94,Tulane,2014,3,9,4.83,16.0,5.65,28.4,0.332,0.381,0.259,0.389,0.25,25.62,7.3,7.3
95,Tulsa,2014,2,10,5.17,24.7,6.95,39.3,0.384,0.417,0.393,0.688,-0.67,15.62,7.0,7.0
96,UAB,2014,6,6,5.51,33.2,5.68,29.9,0.432,0.354,0.429,0.5,-0.17,25.06,8.22,8.22
97,UCF,2014,9,4,5.02,28.1,4.47,19.2,0.415,0.373,0.52,0.286,-0.08,21.11,6.29,6.29
98,UCLA,2014,10,3,6.13,33.5,5.17,28.1,0.431,0.399,0.563,0.682,0.0,21.53,4.8,4.8
99,UConn,2014,2,10,4.5,15.5,5.22,29.8,0.305,0.398,0.571,0.579,-1.08,15.49,4.61,4.61
100,Utah,2014,9,4,5.35,31.3,5.34,24.9,0.408,0.372,0.538,0.429,0.38,20.77,6.72,6.72
101,UTEP,2014,7,6,5.3,26.6,6.3,28.1,0.422,0.366,0.333,0.286,0.69,17.47,10.39,10.39
102,UTSA,2014,4,8,4.48,17.1,5.23,25.9,0.282,0.429,0.625,0.364,-0.25,21.16,4.79,4.79
103,Vanderbilt,2014,3,9,4.68,17.2,5.72,33.3,0.303,0.422,0.5,0.5,-1.33,21.58,7.74,7.74
104,Virginia,2014,5,7,5.08,25.8,5.14,24.1,0.418,0.39,0.471,0.4,0.42,18.81,10.5,10.5
105,Virginia Tech,2014,7,6,4.93,24.1,5.15,20.2,0.39,0.288,0.5,0.278,-0.31,20.37,3.07,3.07
106,Wake Forest,2014,3,9,3.38,14.8,5.22,26.4,0.284,0.411,0.4,0.462,-0.17,20.6,5.93,5.93
107,Washington,2014,8,6,5.4,30.2,5.38,24.8,0.411,0.374,0.5,0.588,0.86,20.3,4.17,4.17
108,Washington St.,2014,3,9,6.12,31.8,6.18,38.6,0.419,0.393,0.45,0.556,-1.42,21.81,17.32,17.32
109,West Virginia,2014,7,6,5.92,33.5,5.43,27.6,0.424,0.314,0.455,0.304,-1.15,22.33,13.65,13.65
110,Western Ky.,2014,8,5,7.05,44.4,6.66,39.9,0.511,0.475,0.417,0.556,0.38,20.22,6.43,6.43
111,Western Mich.,2014,8,5,6.51,33.8,5.47,24.9,0.48,0.402,0.333,0.55,0.23,21.58,8.52,8.52
112,Wisconsin,2014,11,3,6.77,34.6,4.91,20.8,0.382,0.284,0.778,0.462,-0.64,19.9,8.06,8.06
0,Akron,2015,8,5,5.13,23.9,4.85,21.5,0.367,0.369,0.467,0.391,0.77,18.05,5.35,5.35
1,Alabama,2015,14,1,5.89,35.1,4.3,15.1,0.374,0.286,0.5,0.35,0.67,19.0,10.33,10.33
2,Appalachian St.,2015,11,2,6.74,36.7,4.69,19.1,0.426,0.34,0.625,0.5,0.15,22.98,6.16,6.16
3,Arizona,2015,7,6,6.48,37.4,5.93,35.8,0.411,0.459,0.37,0.556,-0.31,21.69,3.43,3.43
4,Arizona St.,2015,6,7,5.8,34.6,6.23,33.5,0.41,0.387,0.556,0.579,0.15,26.83,12.14,12.14
5,Arkansas,2015,8,5,6.83,35.9,6.07,27.4,0.469,0.441,0.571,0.45,0.54,19.52,6.94,6.94
6,Arkansas St.,2015,9,4,5.86,40.0,5.76,30.2,0.385,0.335,0.5,0.333,0.62,18.69,4.7,4.7
7,Army West Point,2015,2,10,5.61,22.1,6.07,27.8,0.446,0.417,0.409,0.875,-0.92,18.66,5.43,5.43
8,Auburn,2015,7,6,5.39,27.5,5.37,26.0,0.413,0.449,0.6,0.464,0.15,21.17,12.43,12.43
9,Ball St.,2015,3,9,4.98,23.1,6.76,35.8,0.382,0.514,0.522,0.529,0.08,18.03,10.46,10.46
10,Baylor,2015,10,3,7.26,48.1,5.19,28.3,0.467,0.368,0.7,0.391,0.0,23.05,3.5,3.5
11,Boston College,2015,3,9,4.4,17.2,4.07,15.3,0.267,0.241,0.385,0.2,0.25,20.39,1.66,1.66
12,Bowling Green,2015,10,4,6.74,42.2,5.4,28.9,0.502,0.408,0.533,0.484,0.86,21.18,18.0,18.0
13,Buffalo,2015,5,7,5.27,26.7,5.66,27.6,0.366,0.393,0.652,0.429,0.0,22.35,8.5,8.5
14,BYU,2015,9,4,6.02,33.7,4.9,22.8,0.401,0.38,0.524,0.5,0.15,20.93,12.38,12.38
15,California,2015,8,5,6.96,37.9,6.1,30.7,0.469,0.43,0.5,0.588,0.31,20.94,10.33,10.33
16,Central Mich.,2015,7,6,5.71,25.8,5.14,22.0,0.438,0.356,0.625,0.478,0.15,23.3,5.2,5.2
17,Cincinnati,2015,7,6,6.6,33.8,5.79,31.2,0.51,0.371,0.636,0.55,-1.46,26.33,9.25,9.25
18,Clemson,2015,14,1,6.39,38.5,4.85,21.7,0.474,0.277,0.571,0.429,-0.13,24.85,6.06,6.06
19,Colorado,2015,4,9,5.12,24.6,5.72,27.5,0.361,0.422,0.556,0.474,0.08,22.34,6.5,6.5
20,Duke,2015,8,5,5.53,31.5,5.37,25.4,0.433,0.377,0.5,0.409,-0.08,19.63,3.0,3.0
21,East Carolina,2015,5,7,5.67,27.4,5.38,26.0,0.43,0.406,0.647,0.522,-0.25,22.0,3.29,3.29
22,Eastern Mich.,2015,1,11,5.49,25.4,7.02,42.1,0.383,0.515,0.588,0.789,-1.08,21.67,7.15,7.15
23,FIU,2015,5,7,5.06,25.5,5.71,29.8,0.425,0.415,0.429,0.438,0.25,19.24,9.12,9.12
24,Fla. Atlantic,2015,3,9,5.09,22.5,5.54,28.8,0.332,0.397,0.5,0.556,-0.17,20.7,7.25,7.25
25,Florida,2015,10,4,5.11,23.2,4.65,18.3,0.364,0.335,0.519,0.6,0.57,20.54,3.91,3.91
26,Florida St.,2015,10,3,6.53,31.7,4.68,17.5,0.381,0.392,0.444,0.474,0.0,16.88,9.38,9.38
27,Ga. Southern,2015,9,4,6.41,36.5,5.47,23.5,0.417,0.356,0.645,0.3,0.46,14.58,5.08,5.08
28,Georgia,2015,10,3,6.03,26.3,4.76,16.9,0.31,0.289,0.417,0.52,0.31,21.2,8.44,8.44
29,Georgia St.,2015,6,7,6.23,26.9,5.3,28.3,0.435,0.405,0.111,0.565,-0.08,26.79,14.05,14.05
30,Georgia Tech,2015,3,9,5.85,29.3,5.82,25.8,0.349,0.361,0.5,0.545,-0.58,23.16,7.79,7.79
31,Houston,2015,13,1,6.16,40.4,5.48,20.7,0.504,0.374,0.5,0.471,1.5,20.43,2.19,2.19
32,Idaho,2015,4,8,5.53,30.3,6.97,42.1,0.415,0.404,0.625,0.647,-0.5,26.74,7.96,7.96
33,Illinois,2015,5,7,4.93,22.7,4.9,23.3,0.363,0.314,0.44,0.524,0.33,20.08,11.88,11.88
34,Indiana,2015,6,7,6.23,36.5,6.38,37.6,0.381,0.421,0.448,0.464,0.62,23.73,7.07,7.07
35,Iowa,2015,12,2,5.77,30.9,4.96,20.4,0.417,0.367,0.643,0.556,0.79,23.56,13.85,13.85
36,Iowa St.,2015,3,9,5.39,25.0,6.16,32.7,0.402,0.469,0.448,0.429,-0.92,19.43,6.27,6.27
37,Kansas,2015,0,12,4.43,15.3,6.96,46.1,0.365,0.453,0.269,0.692,-0.58,20.21,7.87,7.87
38,Kansas St.,2015,6,7,4.95,29.9,6.24,31.5,0.391,0.436,0.533,0.409,-0.23,18.05,6.68,6.68
39,Kent St.,2015,3,9,4.11,13.1,4.86,26.1,0.254,0.34,0.346,0.714,-0.25,26.3,7.55,7.55
40,Kentucky,2015,5,7,5.47,24.7,5.55,27.4,0.374,0.394,0.684,0.571,-0.17,20.82,10.22,10.22
41,La.-Monroe,2015,2,11,4.48,21.0,5.61,36.5,0.297,0.346,0.464,0.483,-1.23,16.31,10.5,10.5
42,Louisiana,2015,4,8,5.45,26.4,5.96,31.8,0.375,0.423,0.542,0.591,-0.75,21.12,6.27,6.27
43,Louisiana Tech,2015,9,4,6.9,37.5,5.29,26.8,0.388,0.4,0.727,0.563,0.08,24.66,11.56,11.56
44,Louisville,2015,8,5,6.01,28.7,4.82,24.1,0.381,0.353,0.467,0.444,-0.08,22.84,4.75,4.75
45,LSU,2015,9,3,6.7,32.8,5.17,24.3,0.399,0.357,0.556,0.462,0.58,20.36,18.91,18.91
46,Marshall,2015,10,3,5.38,31.3,4.69,17.8,0.394,0.343,0.563,0.36,0.31,16.93,4.83,4.83
47,Maryland,2015,3,9,5.43,24.7,5.58,34.4,0.294,0.349,0.333,0.5,-1.5,23.03,7.38,7.38
48,Massachusetts,2015,3,9,5.41,22.2,5.67,31.4,0.348,0.47,0.375,0.467,-0.08,22.52,9.73,9.73
49,Memphis,2015,9,4,6.16,40.2,5.51,27.3,0.488,0.371,0.556,0.263,0.62,15.45,9.69,9.69
50,Miami,2015,8,5,5.9,27.8,5.78,28.2,0.35,0.393,0.722,0.438,0.85,21.22,12.67,12.67
51,Miami,2015,3,9,5.06,17.9,5.63,32.0,0.312,0.351,0.444,0.467,-1.17,19.21,7.17,7.17
52,Michigan,2015,10,3,5.68,31.4,4.46,16.4,0.462,0.276,0.375,0.375,-0.31,20.49,10.73,10.73
53,Michigan St.,2015,12,2,5.44,29.8,5.47,21.7,0.485,0.349,0.421,0.516,1.0,21.63,12.81,12.81
54,Middle Tenn.,2015,7,6,5.92,34.0,5.46,26.6,0.421,0.373,0.583,0.476,-0.31,23.6,9.71,9.71
55,Minnesota,2015,6,7,5.34,22.5,4.9,25.2,0.389,0.416,0.353,0.5,-0.31,21.84,10.17,10.17
56,Mississippi St.,2015,9,4,6.46,34.4,5.32,23.2,0.429,0.355,0.5,0.522,-0.31,18.23,12.5,12.5
57,Missouri,2015,5,7,4.38,13.6,4.32,16.2,0.303,0.393,0.412,0.455,-0.08,26.5,7.42,7.42
58,Navy,2015,11,2,6.35,36.8,5.65,21.8,0.503,0.468,0.923,0.483,1.46,23.11,15.82,15.82
59,NC State,2015,7,6,5.63,33.2,5.51,25.8,0.411,0.352,0.613,0.455,0.69,20.3,2.89,2.89
60,Nebraska,2015,6,7,6.09,32.8,5.88,27.8,0.448,0.34,0.625,0.36,-0.92,18.89,11.5,11.5
61,New Mexico St.,2015,3,9,5.8,28.6,6.79,45.0,0.355,0.428,0.4,0.706,0.08,22.11,10.85,10.85
62,North Carolina,2015,11,3,7.28,40.7,5.5,24.5,0.488,0.442,0.583,0.649,0.5,19.12,8.8,8.8
63,North Texas,2015,1,11,4.56,15.2,6.67,41.3,0.326,0.524,0.444,0.529,-0.58,24.25,9.53,9.53
64,Northern Ill.,2015,8,6,5.33,31.1,5.18,27.6,0.375,0.409,0.515,0.517,0.14,16.88,7.06,7.06
65,Northwestern,2015,10,3,4.47,19.5,4.53,18.6,0.409,0.325,0.455,0.458,0.08,20.72,1.94,1.94
66,Notre Dame,2015,10,3,7.02,34.2,5.57,24.1,0.425,0.351,0.625,0.636,-0.46,22.12,8.82,8.82
67,Ohio,2015,8,5,5.65,27.5,5.7,25.3,0.408,0.331,0.55,0.524,0.38,18.66,2.78,2.78
68,Ohio St.,2015,12,1,6.33,35.7,4.5,15.1,0.407,0.349,0.579,0.391,0.23,16.26,3.58,3.58
69,Oklahoma,2015,11,2,6.8,43.5,4.79,22.0,0.436,0.404,0.529,0.429,0.69,21.46,1.09,1.09
70,Oklahoma St.,2015,10,3,6.39,39.5,5.69,30.5,0.435,0.422,0.8,0.609,1.0,23.01,4.7,4.7
71,Old Dominion,2015,5,7,5.34,24.3,5.67,35.8,0.352,0.468,0.32,0.538,-0.08,19.92,9.4,9.4
72,Ole Miss,2015,10,3,7.07,40.8,4.87,22.6,0.414,0.389,0.467,0.304,0.0,19.13,5.94,5.94
73,Oregon,2015,9,4,7.05,43.0,6.03,37.5,0.391,0.422,0.571,0.708,0.38,22.42,15.28,15.28
74,Oregon St.,2015,2,10,5.12,19.0,6.44,37.0,0.317,0.455,0.176,0.474,-0.33,21.5,10.44,10.44
75,Penn St.,2015,7,6,5.47,23.2,4.78,21.8,0.276,0.366,0.522,0.154,0.31,24.79,6.13,6.13
76,Pittsburgh,2015,8,5,5.76,28.2,5.69,26.1,0.439,0.4,0.846,0.5,0.0,19.23,4.19,4.19
77,Purdue,2015,2,10,4.8,25.1,6.13,36.5,0.35,0.432,0.545,0.467,-0.42,23.79,9.0,9.0
78,Rice,2015,5,7,5.32,26.1,7.13,35.8,0.497,0.443,0.5,0.5,-1.0,23.16,10.77,10.77
79,Rutgers,2015,4,8,5.61,27.1,6.85,34.9,0.365,0.445,0.45,0.364,-0.17,18.75,11.47,11.47
80,SMU,2015,2,10,5.29,27.8,7.06,45.7,0.394,0.464,0.35,0.591,-0.83,22.35,11.15,11.15
81,South Alabama,2015,5,7,5.19,25.0,6.01,37.3,0.348,0.439,0.438,0.308,-0.42,20.14,14.0,14.0
82,South Carolina,2015,3,9,5.61,21.9,6.03,27.5,0.354,0.47,0.55,0.588,0.42,19.07,8.1,8.1
83,South Fla.,2015,8,5,6.43,33.6,5.24,22.9,0.369,0.371,0.579,0.591,0.77,19.94,8.24,8.24
84,Southern California,2015,8,6,6.19,33.9,5.7,25.7,0.392,0.362,0.654,0.381,0.79,20.69,13.88,13.88
85,Southern Miss.,2015,9,5,6.91,39.9,5.32,25.6,0.462,0.37,0.516,0.478,-0.07,18.88,8.94,8.94
86,Stanford,2015,12,2,6.57,37.8,5.57,22.6,0.5,0.363,0.813,0.625,0.07,21.04,8.45,8.45
87,Syracuse,2015,4,8,5.11,27.3,6.21,31.0,0.335,0.369,0.733,1.0,0.42,21.89,8.5,8.5
88,TCU,2015,11,2,6.79,42.1,5.16,27.2,0.434,0.278,0.467,0.5,0.0,20.43,2.54,2.54
89,Temple,2015,10,4,5.37,29.8,5.04,20.1,0.412,0.319,0.478,0.45,0.21,20.02,8.75,8.75
90,Tennessee,2015,9,4,5.56,35.2,5.21,20.0,0.46,0.276,0.765,0.75,0.54,18.24,11.26,11.26
91,Texas,2015,5,7,5.7,26.4,5.63,30.3,0.353,0.442,0.4,0.529,0.92,26.33,3.85,3.85
92,Texas A&M,2015,8,5,5.59,27.8,5.42,22.0,0.423,0.33,0.3,0.2,-0.46,19.03,10.95,10.95
93,Texas St.,2015,3,9,5.55,26.9,7.01,39.2,0.364,0.491,0.615,0.5,-0.58,36.06,8.7,8.7
94,Texas Tech,2015,7,6,6.95,45.1,6.91,43.6,0.517,0.497,0.478,0.438,0.15,25.05,12.38,12.38
95,Toledo,2015,10,2,6.13,35.0,5.07,20.8,0.462,0.403,0.455,0.421,0.67,19.13,8.62,8.62
96,Troy,2015,4,8,5.41,27.9,5.25,28.3,0.351,0.36,0.368,0.613,0.0,17.5,10.0,10.0
97,Tulane,2015,3,9,4.76,19.7,5.81,36.3,0.346,0.464,0.313,0.591,0.08,23.82,13.08,13.08
98,Tulsa,2015,6,7,6.09,37.2,6.59,39.8,0.441,0.447,0.538,0.524,0.31,22.46,11.0,11.0
99,UCF,2015,0,12,4.12,13.9,6.54,37.7,0.292,0.475,0.333,0.667,-1.67,20.57,7.52,7.52
100,UCLA,2015,8,5,6.25,32.2,5.0,26.0,0.451,0.396,0.615,0.577,0.0,23.83,6.67,6.67
101,UConn,2015,6,7,4.93,17.2,5.2,19.5,0.318,0.405,0.3,0.391,0.69,21.43,4.18,4.18
102,Utah,2015,10,3,5.11,30.6,5.18,22.3,0.41,0.394,0.667,0.545,1.0,20.71,7.18,7.18
103,UTEP,2015,5,7,4.92,20.7,6.82,32.9,0.397,0.357,0.5,0.467,-0.92,21.71,9.52,9.52
104,UTSA,2015,3,9,5.0,22.6,5.97,33.8,0.405,0.415,0.214,0.556,-0.08,23.23,6.29,6.29
105,Vanderbilt,2015,4,8,4.5,15.2,5.17,21.0,0.373,0.282,0.389,0.235,-0.67,18.42,15.1,15.1
106,Virginia,2015,4,8,5.49,25.8,6.23,32.2,0.425,0.369,0.533,0.474,-0.75,22.97,7.83,7.83
107,Virginia Tech,2015,7,6,5.33,31.0,5.55,26.3,0.383,0.335,0.615,0.5,0.31,20.48,2.84,2.84
108,Wake Forest,2015,3,9,4.8,17.4,5.57,24.6,0.351,0.354,0.412,0.444,-1.08,22.22,7.33,7.33
109,Washington,2015,7,6,6.0,30.6,4.9,18.8,0.379,0.368,0.421,0.522,0.38,22.02,6.67,6.67
110,Washington St.,2015,9,4,5.92,31.5,5.77,27.7,0.405,0.445,0.667,0.407,-0.08,20.86,14.43,14.43
111,West Virginia,2015,8,5,5.93,34.0,5.32,24.6,0.391,0.317,0.474,0.429,0.69,23.81,4.68,4.68
112,Western Ky.,2015,12,2,7.23,44.3,5.69,25.9,0.478,0.352,0.571,0.611,1.0,19.08,7.33,7.33
113,Western Mich.,2015,8,5,6.86,36.0,6.31,28.3,0.459,0.41,0.619,0.318,0.08,20.42,4.29,4.29
114,Wisconsin,2015,10,3,5.29,26.8,4.41,13.7,0.408,0.312,0.75,0.3,0.23,17.0,4.06,4.06
0,Akron,2016,5,7,5.99,27.4,6.05,33.6,0.373,0.444,0.476,0.591,-0.67,0.0,7.48,7.48
1,Alabama,2016,14,1,6.47,38.8,3.99,13.0,0.438,0.307,0.588,0.174,0.67,0.0,10.65,10.65
2,Appalachian St.,2016,10,3,6.13,29.2,4.99,17.8,0.337,0.333,0.552,0.217,0.62,0.0,12.5,12.5
3,Arizona,2016,3,9,6.08,24.8,6.1,38.3,0.363,0.526,0.278,0.313,-0.58,0.0,11.48,11.48
4,Arizona St.,2016,5,7,5.21,33.3,7.07,39.8,0.381,0.358,0.471,0.563,-0.33,2.0,3.42,3.42
5,Arkansas,2016,7,6,6.03,30.3,6.75,31.1,0.398,0.448,0.556,0.615,-0.31,0.0,5.61,5.61
6,Arkansas St.,2016,8,5,5.37,27.3,4.99,21.5,0.294,0.356,0.577,0.25,0.38,1.0,6.67,6.67
7,Army West Point,2016,8,5,5.89,29.9,5.09,19.8,0.483,0.38,0.541,0.421,-0.23,1.0,8.0,8.0
8,Auburn,2016,8,5,6.13,31.2,5.07,17.1,0.418,0.348,0.476,0.522,0.23,0.0,3.17,3.17
9,Ball St.,2016,4,8,5.64,27.0,6.38,30.1,0.451,0.451,0.522,0.235,-0.83,0.0,8.06,8.06
10,Baylor,2016,7,6,6.13,34.6,5.43,29.0,0.423,0.415,0.565,0.636,-0.38,0.0,2.13,2.13
11,Boston College,2016,7,6,4.42,20.4,5.09,25.0,0.314,0.315,0.5,0.308,0.54,0.0,5.0,5.0
12,Bowling Green,2016,4,8,5.13,24.8,6.32,38.3,0.307,0.448,0.591,0.571,-1.33,0.0,5.2,5.2
13,Buffalo,2016,2,10,5.16,16.5,5.92,32.3,0.365,0.462,0.438,0.375,-0.5,1.0,11.24,11.24
14,BYU,2016,9,4,5.43,29.5,5.52,19.5,0.477,0.373,0.632,0.409,0.92,0.0,2.53,2.53
15,California,2016,5,7,5.95,37.1,6.71,42.6,0.391,0.472,0.742,0.818,0.25,2.0,11.85,11.85
16,Central Mich.,2016,6,7,5.8,26.3,5.74,30.3,0.415,0.418,0.538,0.429,-0.46,0.0,5.53,5.53
